2025-03-24 22:59:28,164 - Source: 192.168.0.1 -> Destination: 239.255.255.250 | UDP | Src Port: 54091, Dst Port: 1900
2025-03-24 22:59:28,166 - Source: 192.168.0.1 -> Destination: 239.255.255.250 | UDP | Src Port: 54091, Dst Port: 1900
2025-03-24 22:59:28,167 - Source: 192.168.0.1 -> Destination: 239.255.255.250 | UDP | Src Port: 54091, Dst Port: 1900
2025-03-24 22:59:28,181 - Source: 192.168.0.108 -> Destination: 142.250.71.106 | UDP | Src Port: 55009, Dst Port: 443
2025-03-24 22:59:28,228 - Source: 192.168.0.108 -> Destination: 74.125.200.188 | TCP | Src Port: 50671, Dst Port: 5228
2025-03-24 22:59:28,260 - Source: 192.168.0.108 -> Destination: 142.250.71.106 | UDP | Src Port: 55009, Dst Port: 443
2025-03-24 22:59:28,269 - Source: 192.168.0.1 -> Destination: 239.255.255.250 | UDP | Src Port: 54091, Dst Port: 1900
2025-03-24 22:59:28,271 - Source: 192.168.0.1 -> Destination: 239.255.255.250 | UDP | Src Port: 54091, Dst Port: 1900
2025-03-24 22:59:28,272 - Source: 192.168.0.1 -> Destination: 239.255.255.250 | UDP | Src Port: 54091, Dst Port: 1900
2025-03-24 22:59:28,273 - Source: 192.168.0.1 -> Destination: 239.255.255.250 | UDP | Src Port: 54091, Dst Port: 1900
2025-03-24 22:59:28,274 - Source: 192.168.0.1 -> Destination: 239.255.255.250 | UDP | Src Port: 54091, Dst Port: 1900
2025-03-24 22:59:28,275 - Source: 192.168.0.1 -> Destination: 239.255.255.250 | UDP | Src Port: 54091, Dst Port: 1900
2025-03-24 22:59:28,276 - Source: 192.168.0.1 -> Destination: 239.255.255.250 | UDP | Src Port: 54091, Dst Port: 1900
2025-03-24 22:59:28,278 - Source: 192.168.0.1 -> Destination: 239.255.255.250 | UDP | Src Port: 54091, Dst Port: 1900
2025-03-24 22:59:28,279 - Source: 192.168.0.1 -> Destination: 239.255.255.250 | UDP | Src Port: 54091, Dst Port: 1900
2025-03-24 22:59:28,280 - Source: 192.168.0.1 -> Destination: 239.255.255.250 | UDP | Src Port: 54091, Dst Port: 1900
2025-03-24 22:59:28,281 - Source: 142.250.71.106 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 55009
2025-03-24 22:59:28,282 - Source: 74.125.200.188 -> Destination: 192.168.0.108 | TCP | Src Port: 5228, Dst Port: 50671
2025-03-24 22:59:28,318 - Source: 142.250.71.106 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 55009
2025-03-24 22:59:28,521 - Source: 192.168.0.108 -> Destination: 142.250.71.106 | UDP | Src Port: 55009, Dst Port: 443
2025-03-24 22:59:28,559 - Source: 142.250.71.106 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 55009
2025-03-24 22:59:28,762 - Source: 192.168.0.108 -> Destination: 142.250.71.106 | UDP | Src Port: 55009, Dst Port: 443
2025-03-24 22:59:28,797 - Source: 142.250.71.106 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 55009
2025-03-24 22:59:29,207 - Source: 192.168.0.108 -> Destination: 142.250.71.106 | UDP | Src Port: 55009, Dst Port: 443
2025-03-24 22:59:29,242 - Source: 142.250.71.106 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 55009
2025-03-24 22:59:30,055 - Source: 192.168.0.108 -> Destination: 142.250.71.106 | UDP | Src Port: 55009, Dst Port: 443
2025-03-24 22:59:30,117 - Source: 142.250.71.106 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 55009
2025-03-24 22:59:30,374 - Source: 192.168.0.108 -> Destination: 34.139.124.58 | TCP | Src Port: 51537, Dst Port: 443
2025-03-24 22:59:30,621 - Source: 34.139.124.58 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51537
2025-03-24 22:59:31,231 - Source: 192.168.0.108 -> Destination: 108.174.10.20 | TCP | Src Port: 51518, Dst Port: 443
2025-03-24 22:59:31,450 - Source: 108.174.10.20 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51518
2025-03-24 22:59:31,731 - Source: 192.168.0.108 -> Destination: 142.250.71.106 | UDP | Src Port: 55009, Dst Port: 443
2025-03-24 22:59:31,809 - Source: 192.168.0.108 -> Destination: 142.250.71.106 | UDP | Src Port: 55009, Dst Port: 443
2025-03-24 22:59:31,828 - Source: 142.250.71.106 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 55009
2025-03-24 22:59:31,847 - Source: 142.250.71.106 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 55009
2025-03-24 23:02:36,121 - Source: 192.168.0.108 -> Destination: 34.139.124.58 | TCP | Src Port: 51606, Dst Port: 443
2025-03-24 23:02:36,122 - Source: 192.168.0.108 -> Destination: 34.139.124.58 | TCP | Src Port: 51606, Dst Port: 443
2025-03-24 23:02:36,400 - Source: 34.139.124.58 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51606
2025-03-24 23:02:36,412 - Source: 34.139.124.58 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51606
2025-03-24 23:02:36,413 - Source: 34.139.124.58 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51606
2025-03-24 23:02:36,414 - Source: 192.168.0.108 -> Destination: 34.139.124.58 | TCP | Src Port: 51606, Dst Port: 443
2025-03-24 23:02:36,415 - Source: 192.168.0.108 -> Destination: 34.139.124.58 | TCP | Src Port: 51606, Dst Port: 443
2025-03-24 23:02:36,721 - Source: 34.139.124.58 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51606
2025-03-24 23:02:37,476 - Source: 142.250.71.106 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 55009
2025-03-24 23:02:37,487 - Source: 192.168.0.108 -> Destination: 142.250.71.106 | UDP | Src Port: 55009, Dst Port: 443
2025-03-24 23:02:37,685 - Source: 192.168.0.108 -> Destination: 142.250.71.106 | UDP | Src Port: 55009, Dst Port: 443
2025-03-24 23:02:37,746 - Source: 142.250.71.106 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 55009
2025-03-24 23:02:37,922 - Source: 157.240.16.53 -> Destination: 192.168.0.108 | TCP | Src Port: 80, Dst Port: 51432
2025-03-24 23:02:37,925 - Source: 192.168.0.108 -> Destination: 157.240.16.53 | TCP | Src Port: 51432, Dst Port: 80
2025-03-24 23:02:37,947 - Source: 157.240.16.53 -> Destination: 192.168.0.108 | TCP | Src Port: 80, Dst Port: 51432
2025-03-24 23:02:37,962 - Source: 192.168.0.108 -> Destination: 142.250.71.106 | UDP | Src Port: 55009, Dst Port: 443
2025-03-24 23:02:38,006 - Source: 142.250.71.106 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 55009
2025-03-24 23:02:38,026 - Source: 192.168.0.108 -> Destination: 192.168.1.1 | UDP | Src Port: 50575, Dst Port: 53
2025-03-24 23:02:38,036 - Source: 192.168.1.1 -> Destination: 192.168.0.108 | UDP | Src Port: 53, Dst Port: 50575
2025-03-24 23:02:38,038 - Source: 192.168.0.108 -> Destination: 142.250.205.234 | UDP | Src Port: 50498, Dst Port: 443
2025-03-24 23:02:38,039 - Source: 192.168.0.108 -> Destination: 142.250.205.234 | UDP | Src Port: 50498, Dst Port: 443
2025-03-24 23:02:38,040 - Source: 192.168.0.108 -> Destination: 142.250.205.234 | UDP | Src Port: 50498, Dst Port: 443
2025-03-24 23:02:38,041 - Source: 192.168.0.108 -> Destination: 142.250.205.234 | UDP | Src Port: 50498, Dst Port: 443
2025-03-24 23:02:38,043 - Source: 192.168.0.108 -> Destination: 142.250.205.234 | UDP | Src Port: 50498, Dst Port: 443
2025-03-24 23:02:38,053 - Source: 142.250.205.234 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 50498
2025-03-24 23:02:38,054 - Source: 142.250.205.234 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 50498
2025-03-24 23:02:38,055 - Source: 142.250.205.234 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 50498
2025-03-24 23:02:38,057 - Source: 142.250.205.234 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 50498
2025-03-24 23:02:38,058 - Source: 142.250.205.234 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 50498
2025-03-24 23:02:38,064 - Source: 192.168.0.108 -> Destination: 142.250.205.234 | UDP | Src Port: 50498, Dst Port: 443
2025-03-24 23:02:38,079 - Source: 192.168.0.108 -> Destination: 142.250.205.234 | UDP | Src Port: 50498, Dst Port: 443
2025-03-24 23:02:38,085 - Source: 142.250.205.234 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 50498
2025-03-24 23:02:38,086 - Source: 142.250.205.234 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 50498
2025-03-24 23:02:38,087 - Source: 142.250.205.234 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 50498
2025-03-24 23:02:38,087 - Source: 192.168.0.108 -> Destination: 142.250.205.234 | UDP | Src Port: 50498, Dst Port: 443
2025-03-24 23:02:38,088 - Source: 192.168.0.108 -> Destination: 142.250.205.234 | UDP | Src Port: 50498, Dst Port: 443
2025-03-24 23:02:38,088 - Source: 192.168.0.108 -> Destination: 142.250.205.234 | UDP | Src Port: 50498, Dst Port: 443
2025-03-24 23:02:38,092 - Source: 142.250.205.234 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 50498
